Case Type,Sub-Type,Value Involved,Agreement Signed,Notice Given,Consumer Complaint,Matrimonial Issue,Legal Issue
Environmental,Land Violation,<10k,No,No,Yes,No,Yes
Environmental,Land Violation,<10k,Yes,No,Yes,No,Yes
Criminal,Dowry Harassment,10k�1L,Yes,No,Yes,No,Yes
Civil,Eviction,<10k,Yes,Yes,Yes,No,Yes
Family,Child Custody,>1L,No,No,No,Yes,Yes
Criminal,Dowry Harassment,10k�1L,Yes,Yes,Yes,No,Yes
PIL,Government Inaction,N/A,No,Yes,Yes,No,Yes
PIL,Government Inaction,N/A,Yes,No,Yes,No,Yes
PIL,Right to Education,N/A,No,No,Yes,No,Yes
Environmental,Land Violation,10k�1L,No,No,No,No,Yes
Consumer,Non-Delivery,N/A,Yes,Yes,Yes,No,Yes
PIL,Right to Education,N/A,Yes,No,No,No,Yes
Criminal,Dowry Harassment,<10k,Yes,Yes,No,No,Yes
Consumer,Defective Product,<10k,No,Yes,Yes,No,No
PIL,Government Inaction,N/A,Yes,No,No,No,Yes
Civil,Property Dispute,N/A,Yes,Yes,Yes,No,No
PIL,Government Inaction,N/A,No,Yes,Yes,No,Yes
Criminal,Theft,>1L,Yes,Yes,No,No,Yes
Family,Divorce,N/A,No,No,No,Yes,Yes
Consumer,Non-Delivery,N/A,Yes,No,Yes,No,Yes
Family,Child Custody,>1L,Yes,No,Yes,Yes,Yes
Family,Maintenance,N/A,No,No,Yes,Yes,Yes
PIL,RTI Delay,N/A,Yes,No,No,No,Yes
Environmental,Illegal Mining,N/A,No,No,Yes,No,Yes
Civil,Property Dispute,>1L,Yes,Yes,Yes,No,No
Environmental,Land Violation,N/A,Yes,Yes,Yes,No,Yes
Environmental,Land Violation,10k�1L,Yes,No,Yes,No,Yes
Environmental,Land Violation,<10k,Yes,Yes,No,No,Yes
Family,Divorce,>1L,Yes,Yes,No,Yes,Yes
Criminal,Theft,N/A,No,No,No,No,Yes
Environmental,Pollution,<10k,Yes,No,No,No,Yes
Criminal,Domestic Violence,N/A,No,No,No,No,Yes
Civil,Eviction,>1L,No,Yes,Yes,No,Yes
Consumer,Defective Product,>1L,No,No,Yes,No,Yes
Criminal,Domestic Violence,N/A,Yes,Yes,No,No,Yes
Family,Divorce,>1L,No,No,Yes,Yes,Yes
Environmental,Pollution,10k�1L,Yes,No,Yes,No,Yes
Criminal,Domestic Violence,10k�1L,Yes,Yes,Yes,No,Yes
Environmental,Illegal Mining,N/A,Yes,Yes,No,No,Yes
Criminal,Domestic Violence,N/A,Yes,No,Yes,No,Yes
Family,Maintenance,10k�1L,Yes,No,No,Yes,Yes
PIL,Right to Education,N/A,No,Yes,Yes,No,Yes
Environmental,Illegal Mining,<10k,No,No,No,No,Yes
Civil,Property Dispute,10k�1L,No,No,No,No,No
PIL,RTI Delay,N/A,No,Yes,Yes,No,Yes
Criminal,Dowry Harassment,<10k,No,Yes,No,No,Yes
Criminal,Domestic Violence,<10k,No,No,No,No,Yes
Family,Divorce,<10k,No,Yes,No,Yes,Yes
Consumer,Non-Delivery,10k�1L,Yes,Yes,Yes,No,Yes
Family,Child Custody,<10k,No,Yes,Yes,Yes,Yes
Family,Child Custody,>1L,Yes,No,No,Yes,Yes
Environmental,Illegal Mining,N/A,No,Yes,No,No,Yes
Environmental,Land Violation,>1L,Yes,Yes,No,No,Yes
Civil,Eviction,10k�1L,Yes,No,No,No,Yes
Family,Child Custody,<10k,No,Yes,No,Yes,Yes
Criminal,Domestic Violence,N/A,No,No,Yes,No,Yes
Consumer,Non-Delivery,>1L,No,Yes,Yes,No,Yes
Environmental,Illegal Mining,N/A,Yes,Yes,Yes,No,Yes
Civil,Cheque Bounce,>1L,Yes,No,Yes,No,Yes
Family,Maintenance,10k�1L,Yes,Yes,No,Yes,Yes
Environmental,Illegal Mining,10k�1L,Yes,No,No,No,Yes
Environmental,Illegal Mining,>1L,Yes,Yes,Yes,No,Yes
Criminal,Domestic Violence,<10k,No,Yes,No,No,Yes
Criminal,Domestic Violence,10k�1L,No,No,Yes,No,Yes
Consumer,Non-Delivery,N/A,Yes,No,Yes,No,Yes
Family,Child Custody,>1L,Yes,No,Yes,Yes,Yes
Criminal,Domestic Violence,N/A,Yes,No,Yes,No,Yes
